id,course_id,quarter,start_date,end_date,start_time,end_time,monday,tuesday,wednesday,thursday,friday,location,primary_instructor,instructors
480d0214-797a-42c2-ad09-4c9ba3e12b13,105725,Winter,"Jan 9, 2023","Mar 17, 2023",12:00:00 PM,1:20:00 PM,False,True,False,True,False,Gates B1,rfedkiw,"['kevli016', 'demiguo', 'domens', 'dansj', 'maxfit', 'rfedkiw']"
83e17d23-2b25-4817-bbb6-887b649035ad,209311,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,2:50:00 PM,False,True,False,True,False,Departmental Room,gretzky,"['gretzky', 'jchens', 'aroram8', 'khsu18']"
b7c20fb5-0380-4c02-942c-b5802217abec,209312,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,False,True,False,True,False,Hewlett Teaching Center 102,gretzky,"['gretzky', 'schlager', 'jchens', 'ahdahl', 'aroram8']"
fc1221b1-757e-4751-b754-c67b94c1e3fd,223754,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Skilling Auditorium,uun,"['uun', 'joshcho', 'swads', 'senyu', 'michcat', 'etalius', 'aselvara']"
4e7f2ca1-b9a1-48fe-9492-89cf4f7b6c8d,220584,Winter,"Jan 9, 2023","Mar 17, 2023",10:30:00 AM,11:50:00 AM,False,True,False,True,False,Gates B3,kunle,"['stanfurd', 'kunle']"
6d567fed-c4dc-4af1-abd2-cfd697669c7a,105730,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,2:50:00 PM,True,False,True,False,False,NVIDIA Auditorium,dorsa,"['psl', 'dorsa', 'muj', 'skaramch', 'jwhughes', 'shailk', 'drewkaul', 'npbecker', 'avelu', 'amritapv', 'igao', 'thankyou', 'mstratta', 'kawin', 'poesia', 'samlowe']"
51e09e1b-b202-45ce-803e-37ab618b922c,105730,Spring,"Apr 3, 2023","Jun 7, 2023",10:30:00 AM,12:20:00 PM,True,False,True,False,False,NVIDIA Auditorium,sanmi,"['charikar', 'mnkwon', 'sanmi', 'mtchapmi', 'zuyi', 'samar99', 'dshin7', 'avelu', 'igao', 'asingh13', 'alee2022', 'abadrina', 'yilinwu', 'maxfit', 'sanjari4', 'xl99', 'rishia', 'arvind98']"
d3435def-5632-4ee8-841c-7b315200df65,105730,Summer,"Jun 26, 2023","Aug 17, 2023",4:30:00 PM,6:15:00 PM,False,True,False,True,False,Skilling Auditorium,mamjad,"['mamjad', 'abadrina']"
b3dab512-435f-4361-aefe-7c8e47d418a4,105736,Winter,"Jan 9, 2023","Mar 17, 2023",3:00:00 PM,4:20:00 PM,True,False,True,False,False,Gates B1,khatib,"['devmalya', 'wmchong', 'apiedra', 'wguo95', 'bokim', 'khatib']"
5e4a81f9-080a-4039-9cac-585377d77b6a,224864,Winter,"Jan 9, 2023","Mar 17, 2023",5:30:00 PM,6:20:00 PM,False,True,False,True,False,260-113,diyiy,"['diyiy', 'katezhou', 'wennaqin']"
37e6d8f4-120a-4ecb-b501-9e692fe049f4,120904,Winter,"Jan 9, 2023","Mar 17, 2023",4:30:00 PM,5:50:00 PM,False,True,False,True,False,NVIDIA Auditorium,manning,"['manning', 'cpenelto', 'muj', 'hhanley', 'julianyg', 'siyanli', 'shailk', 'drewkaul', 'sauren', 'ericsf', 'igao', 'johnhew', 'isabelvp', 'chrisglc', 'huangdh', 'rdesai2', 'poesia', 'swastika', 'xlisali', 'anujnag', 'hliu99', 'esui', 'xyang123', 'xniac', 'manasis', 'chenyuz', 'anshk', 'tathagat', 'abhinavg']"
46f3d2ab-f407-4829-9387-512adb67b326,224259,Spring,"Apr 3, 2023","Jun 7, 2023",4:30:00 PM,5:50:00 PM,True,False,True,False,False,Gates B1,khausman,"['rafailov', 'dilip', 'cbfinn', 'szk', 'anniexie', 'joelmax', 'reginalw', 'jyang27', 'anshk', 'khausman']"
8c606880-6d3a-459a-abc8-e1fc3898898b,205418,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,True,False,True,False,False,Gates B1,cgpotts,"['skaramch', 'minalee', 'kawin', 'tz58', 'xlisali', 'cgpotts']"
a2d5a217-c517-4df5-b72b-982a538c69be,223488,Autumn,"Sep 26, 2022","Dec 9, 2022",3:00:00 PM,4:20:00 PM,True,False,True,False,False,Turing Auditorium,lam,"['paridhi', 'jianv', 'lam']"
1e477c14-7f2f-4692-8f8d-a4d09c20db21,105824,Winter,"Jan 9, 2023","Mar 17, 2023",3:00:00 PM,4:20:00 PM,False,True,False,True,False,NVIDIA Auditorium,jure,"['jure', 'hamed', 'tinally', 'aljubrmj', 'fyu9', 'serinac', 'suxuan', 'zhuoyih', 'paridhi', 'srnangi', 'aman0456', 'sanirudh', 'arvind98']"
6fd8f143-83e5-4acf-964d-7ae4ba8fb600,105743,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,False,True,False,True,False,Gates B12,khatib,"['wmchong', 'apiedra', 'khatib']"
8c7b568c-6b70-49af-a0a3-2d5b07f09736,205030,Spring,"Apr 3, 2023","Jun 7, 2023",4:30:00 PM,6:20:00 PM,False,False,True,False,False,200-034,gullible,"['ahardy', 'cggao', 'ajriley', 'gullible']"
4a8acac6-14eb-4043-8dba-4b1c3d1105ce,105748,Winter,"Jan 9, 2023","Mar 17, 2023",10:30:00 AM,11:50:00 AM,False,True,False,True,False,Skilling Auditorium,ermon,"['ermon', 'khkim1', 'andyshih', 'lando', 'mfchen', 'cundy']"
cd5aece3-0df3-408e-9905-03179b996b5f,105750,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Skilling Auditorium,ayn,"['charikar', 'guestrin', 'ayn', 'kykim153', 'jsilberg', 'dslim', 'nanbhas', 'bkohen', 'soyeonj', 'gcyoung', 'sauren', 'ebalogun', 'caozj18', 'lantaoyu', 'hahntrn']"
10c7ef7e-db53-44b0-988c-000dbd59b211,105750,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,True,False,True,False,False,NVIDIA Auditorium,tengyuma,"['chrismre', 'tengyuma', 'gwthomas', 'shailk', 'drewkaul', 'sauren', 'jhaochen', 'myasu', 'hliu99', 'ruideng']"
1112ba4c-be30-4632-ad3e-b05032958f92,105750,Summer,"Jun 26, 2023","Aug 17, 2023",4:30:00 PM,7:00:00 PM,True,False,False,False,True,NVIDIA Auditorium,avati,['avati']
